"photo","age_mean","age_sd","age_N","anxious.easily.upset_mean","anxious.easily.upset_sd","anxious.easily.upset_N","Asian_mean","Asian_sd","Asian_N","attractiveness_mean","attractiveness_sd","attractiveness_N","Black_mean","Black_sd","Black_N","calm.emotionally.stable_mean","calm.emotionally.stable_sd","calm.emotionally.stable_N","Poor_mean","Poor_sd","Poor_N","Working.class_mean","Working.class_sd","Working.class_N","Middle.class_mean","Middle.class_sd","Middle.class_N","Upper.Middle.class_mean","Upper.Middle.class_sd","Upper.Middle.class_N","Upper.class_mean","Upper.class_sd","Upper.class_N","competence_mean","competence_sd","competence_N","conventional.uncreative_mean","conventional.uncreative_sd","conventional.uncreative_N","critical.quarrelsome_mean","critical.quarrelsome_sd","critical.quarrelsome_N","dependable.self.disciplined_mean","dependable.self.disciplined_sd","dependable.self.disciplined_N","disorganized.careless_mean","disorganized.careless_sd","disorganized.careless_N","dominant_mean","dominant_sd","dominant_N","education_mean","education_sd","education_N","extraverted.enthusiastic_mean","extraverted.enthusiastic_sd","extraverted.enthusiastic_N","hard.working_mean","hard.working_sd","hard.working_N","honest.moral_mean","honest.moral_sd","honest.moral_N","income_mean","income_sd","income_N","Latino_mean","Latino_sd","Latino_N","liberal_mean","liberal_sd","liberal_N","Native.American_mean","Native.American_sd","Native.American_N","Not.sure_mean","Not.sure_sd","Not.sure_N","occupational.prestige_mean","occupational.prestige_sd","occupational.prestige_N","open.to.new.experience.complex_mean","open.to.new.experience.complex_sd","open.to.new.experience.complex_N","Other_mean","Other_sd","Other_N","reserved.quiet_mean","reserved.quiet_sd","reserved.quiet_N","ses.ladder_mean","ses.ladder_sd","ses.ladder_N","submissive_mean","submissive_sd","submissive_N","sympathetic_mean","sympathetic_sd","sympathetic_N","thermometer_mean","thermometer_sd","thermometer_N","warmth_mean","warmth_sd","warmth_N","White_mean","White_sd","White_N"
"AF200.BF4",32.8666666666667,6.17968492296544,30,43,16.169556130412,12,0.928571428571429,0.267261241912424,14,42.0769230769231,24.6456944801776,13,0,0,14,57.9166666666667,17.2650900181069,12,0,0,13,0.307692307692308,0.480384461415261,13,0.692307692307692,0.480384461415261,13,0,0,13,0,0,13,60.5833333333333,15.6522338419289,12,46.75,17.9753619258038,12,40.9166666666667,18.7735710427444,12,61.4166666666667,11.3494760258175,12,35.3333333333333,17.2854817343307,12,44.5,16.1047706088487,12,16,2.51661147842358,13,51.0833333333333,15.9399916352968,12,66.0833333333333,14.5817964558139,12,65,12.996503026164,12,58448.275862069,20402.3566686662,29,0,0,14,50.4273504273504,12.5177936033135,13,0,0,14,0.0714285714285714,0.267261241912424,14,48.3793103448276,16.4499539580412,29,45.4166666666667,15.2700439561988,12,0,0,14,48.8333333333333,19.1065592418051,12,50,14.2500924242482,30,53.0833333333333,16.5389805849054,12,58.75,11.2340796443031,12,NA,NA,NA,60.25,13.3015720191945,12,0,0,14
"AF200.BF59",38.75,6.59545297913646,24,47.3333333333333,17.5594229214212,3,1,0,3,41.3333333333333,7.76745346515403,3,0,0,3,48,16.3707055437449,3,0,0,3,0.333333333333333,0.577350269189626,3,0,0,3,0.333333333333333,0.577350269189626,3,0.333333333333333,0.577350269189626,3,50.6666666666667,15.3079500042734,3,43.3333333333333,30.9892454463372,3,71.3333333333333,6.35085296108588,3,40.3333333333333,12.3423390543824,3,49,16.0934769394311,3,71.6666666666667,3.05505046330389,3,15.6666666666667,2.3094010767585,3,66.3333333333333,6.65832811847939,3,61.6666666666667,9.07377172587747,3,40.3333333333333,12.7410099024109,3,88750,46700.9449676296,24,0,0,3,27.7777777777778,7.85674201318385,2,0,0,3,0,0,3,69.0416666666667,16.9281837713649,24,63,13.7477270848675,3,0,0,3,30.3333333333333,6.65832811847939,3,70.5314009661836,14.7628829212187,23,25.6666666666667,22.2336081942031,3,40.3333333333333,11.0151410945722,3,NA,NA,NA,37,4.58257569495584,3,0,0,3
"AF200.WF101",34.5714285714286,5.59974489214847,21,44,14.6287388383278,4,1,0,5,51,18.3847763108502,5,0,0,5,68.75,16.0078105935821,4,0,0,5,0.2,0.447213595499958,5,0.8,0.447213595499958,5,0,0,5,0,0,5,72,12.7540843131393,4,42.25,24.2950612265127,4,46.5,20.8885933785244,4,72.75,15.713582235336,4,35.25,17.7270979012358,4,43.5,19.0700463205171,4,15.8,2.68328157299975,5,55.5,22.7522892621087,4,79.25,13.2003787824441,4,77,12.5698050899765,4,45952.380952381,22339.3737389305,21,0,0,5,53.3333333333333,14.4871164560059,5,0,0,5,0,0,5,42.5714285714286,18.607985996801,21,67.75,12.3928742966809,4,0,0,5,51.5,24.3378991150291,4,46.0846560846561,17.9732965422302,21,49.25,7.36545993132812,4,64.5,6.40312423743285,4,NA,NA,NA,67,5.29150262212918,4,0,0,5
"AF203.WF112",29,4.60237093048987,23,37.5454545454545,15.27981437298,11,1,0,12,51.5454545454545,21.0397891451584,11,0,0,12,61,11.8827606220104,11,0,0,11,0,0,11,0.727272727272727,0.467099366496914,11,0.272727272727273,0.467099366496914,11,0,0,11,62.5454545454545,14.1447066874053,11,43.0909090909091,16.3367961697179,11,53.2727272727273,16.0504885227267,11,62.1818181818182,19.9038598358117,11,35,16.056151469141,11,57.6363636363636,17.5229719355635,11,16.7272727272727,4.54072481198562,11,52.6363636363636,19.1847477297604,11,68.0909090909091,16.5436062903742,11,59.6363636363636,8.94732057403475,11,78636.3636363636,22792.1152919276,22,0,0,12,57.5757575757576,18.471320324303,11,0,0,12,0,0,12,62.9090909090909,15.4547237066369,22,55.3636363636364,10.3273687575561,11,0,0,12,52.8181818181818,18.3347657842591,11,65,17.439742567231,22,43.4545454545455,16.3423599052501,11,52.3636363636364,9.4791637529133,11,NA,NA,NA,50.7272727272727,9.76822306349429,11,0,0,12
"AF203.WF18",25.9090909090909,5.28167623923541,22,52.875,9.01486867030558,8,1,0,9,37.4444444444444,21.4307670832795,9,0,0,9,54.625,6.69621428228561,8,0,0,9,0.111111111111111,0.333333333333333,9,0.777777777777778,0.440958551844098,9,0.111111111111111,0.333333333333333,9,0,0,9,59,11.771636613973,8,52,10.0569805181703,8,41.625,9.14857522084333,8,56.375,8.71677364953013,8,42.125,9.28035559663529,8,44,9.102589898328,8,16.7777777777778,0.666666666666667,9,44.375,16.1239617605954,8,56,12.0475249384617,8,61.25,10.9772492000501,8,48333.3333333333,26140.6452355969,21,0,0,9,56.9444444444445,7.12077716068508,8,0,0,9,0,0,9,47.1818181818182,17.9910992904729,22,49.125,9.67230951885698,8,0,0,9,59.75,10.1101080960732,8,53.6868686868687,14.4765063930154,22,56.5,7.2702917999997,8,57.75,10.4300390356755,8,NA,NA,NA,52.875,14.4858305151719,8,0.222222222222222,0.440958551844098,9
"AF203.WF28",25.3333333333333,4.58569203376889,36,52.1666666666667,14.7936790953593,18,0.947368421052632,0.229415733870562,19,47.3333333333333,17.2831097419689,18,0,0,19,56.7222222222222,16.182072707913,18,0,0,18,0.277777777777778,0.460888598962477,18,0.611111111111111,0.50163132570455,18,0.111111111111111,0.323380833381777,18,0,0,18,70.8333333333333,9.75131966936361,18,41.3333333333333,17.0880074906351,18,41.9444444444444,19.3192139111246,18,68.5,15.3172336620822,18,46.1111111111111,17.7130357078319,18,43.3888888888889,20.9063426595541,18,15.5555555555556,4.69320186981656,18,44.7777777777778,15.3873728046754,18,69.6111111111111,13.5479058025212,18,71,14.660872295692,18,49000,23788.2818408807,35,0.0526315789473684,0.229415733870562,19,62.962962962963,13.7410431644632,18,0,0,19,0.0526315789473684,0.229415733870562,19,52.1142857142857,19.9878954966889,35,55.6111111111111,15.8898372585932,18,0,0,19,63.8333333333333,12.1957080203507,18,49.9382716049383,15.5576970055343,36,56.8333333333333,15.7713440808844,18,67.4444444444444,12.1569259960404,18,NA,NA,NA,68.1666666666667,12.4298028946561,18,0.105263157894737,0.315301767642306,19
"AF211_old.BF70",56.8965517241379,9.76270171763873,29,31.2857142857143,23.3845069401765,14,1,0,14,17.6428571428571,18.9558480639663,14,0,0,14,67.2142857142857,14.5770028122729,14,0.0714285714285714,0.267261241912424,14,0.642857142857143,0.497245158098847,14,0.214285714285714,0.42581531362632,14,0.0714285714285714,0.267261241912424,14,0,0,14,69.6428571428571,13.2002747224159,14,52.8571428571429,20.8984988156387,14,50.6428571428571,22.9300177558962,14,72.6428571428571,16.0461217114299,14,19.4285714285714,15.7563871577128,14,56.1428571428571,25.0901670683255,14,13.2857142857143,2.84005881381602,14,45.6428571428571,25.9306980025818,14,81.6428571428571,13.6077305113795,14,77.3571428571429,12.7074002840086,14,44333.3333333333,20330.6009093025,30,0.0714285714285714,0.267261241912424,14,38.8888888888889,18.3611547512315,14,0.0714285714285714,0.267261241912424,14,0,0,14,40.3666666666667,19.1013329257471,30,39.1428571428571,26.094081683422,14,0,0,14,57.4285714285714,19.9449792630175,14,43.2962962962963,15.8147086354376,30,46.4285714285714,21.7068379361623,14,64.2142857142857,25.6070259932656,14,NA,NA,NA,52,24.9121533516351,14,0,0,14
"AF211_old.WF3",51.0789473684211,10.7310652325005,38,48.4210526315789,17.4015190571707,19,0.894736842105263,0.315301767642306,19,33.6315789473684,23.4359897174215,19,0,0,19,57.6842105263158,13.6587482409177,19,0,0,19,0.105263157894737,0.315301767642306,19,0.578947368421053,0.507257273501788,19,0.315789473684211,0.477566932940919,19,0,0,19,61.8947368421053,13.2492965718608,19,56.3157894736842,17.1498384559251,19,51.5263157894737,20.2987914830542,19,66.3157894736842,15.0851384981634,19,34.6842105263158,16.3742773600647,19,54.7894736842105,20.5360900405127,19,14.1578947368421,5.13444963938835,19,52.4210526315789,17.2185810148149,19,71.7894736842105,11.5449794156422,19,62.2105263157895,15.5155081822042,19,71315.7894736842,39825.3655846934,38,0,0,19,50.8771929824561,18.9995991126881,19,0.105263157894737,0.315301767642306,19,0,0,19,59.1842105263158,20.4514656359192,38,44,14.5716619962629,19,0,0,19,57.2631578947368,17.2041406684656,19,56.7267267267267,16.2287022951804,37,49.7368421052632,14.0469138772075,19,61.1052631578947,11.873849590321,19,NA,NA,NA,53.1578947368421,14.3227214898982,19,0.0526315789473684,0.229415733870562,19
"AF211_old.WF4",64.4285714285714,9.47287969602959,28,38,23.7697286480094,13,1,0,13,43.6153846153846,25.6727432034394,13,0,0,13,61.3076923076923,15.5530523016364,13,0,0,13,0.461538461538462,0.518874521662771,13,0.461538461538462,0.518874521662771,13,0.0769230769230769,0.277350098112615,13,0,0,13,61.9230769230769,14.079900203609,13,52.3076923076923,24.4757860458883,13,51.6923076923077,26.6470280249806,13,71.6923076923077,12.4189681226247,13,31.1538461538462,19.5526901552623,13,48.9230769230769,29.7166102218427,13,14.3076923076923,3.17239697454505,13,40.6153846153846,17.4954206462647,13,72.3846153846154,20.4268551239884,13,69.6923076923077,6.54961341587699,13,52499.9642857143,26614.5984731607,28,0,0,13,37.037037037037,17.9369974435922,12,0,0,13,0,0,13,45.9642857142857,21.8674155407964,28,41.6923076923077,23.4285602608747,13,0,0,13,60.0769230769231,22.152733234154,13,48.9300411522634,16.1706282968199,27,42.3076923076923,28.2323237188175,13,65.6153846153846,14.5633012600078,13,NA,NA,NA,63.3846153846154,14.7283086918722,13,0,0,13
"AF213.BF14",43.6206896551724,8.62477243220882,29,45.8333333333333,24.5506678955512,18,0.95,0.223606797749979,20,36.1111111111111,19.19218250437,18,0,0,20,59,22.7802804300252,18,0,0,18,0.333333333333333,0.485071250072666,18,0.5,0.514495755427527,18,0.111111111111111,0.323380833381777,18,0.0555555555555556,0.235702260395516,18,65.2777777777778,18.0580943413703,18,51.9444444444444,22.1690622323417,18,50.5,18.3054154635757,18,64.3888888888889,18.2438995086315,18,34.8888888888889,18.8145403373182,18,51.1111111111111,22.6375245188132,18,15.5,3.58509988375088,18,44.7777777777778,20.2500706042504,18,71.1666666666667,14.7059411763529,18,66.2777777777778,18.0254903027239,18,62333.3333333333,26513.9304092608,30,0,0,20,45.0617283950617,18.8531851037977,18,0,0,20,0.05,0.223606797749979,20,49.6206896551724,19.3324556734144,29,45.7222222222222,18.2170106527987,18,0.1,0.307793505625546,20,58.9444444444444,21.9611213209436,18,48.8505747126437,16.2933934486457,29,50.9444444444444,19.1079663775339,18,55.4444444444444,19.7728935733098,18,NA,NA,NA,51.2777777777778,17.9699276752466,18,0.15,0.366347548532523,20
